iter	Passed	Remaining
471	694	777
472	695	775
473	696	773
474	697	771
475	698	768
476	699	766
477	700	764
478	701	762
479	702	760
480	703	758
481	704	757
482	705	755
483	706	753
484	707	751
485	708	749
486	709	747
487	711	746
488	712	744
489	713	742
490	714	740
491	715	738
492	716	736
493	717	734
494	718	732
495	719	731
496	721	729
497	722	728
498	723	726
499	725	725
500	725	723
501	727	721
502	727	719
503	728	717
504	729	715
505	730	713
506	731	711
507	733	710
508	735	709
509	736	707
510	737	706
511	739	704
512	739	702
513	740	700
514	741	698
515	742	696
516	743	694
517	744	692
518	745	690
519	746	689
520	747	687
521	748	685
522	749	683
523	750	681
524	751	680
525	753	678
526	753	676
527	754	674
528	755	672
529	756	671
530	757	669
531	758	667
532	759	665
533	760	663
534	761	662
535	762	660
536	763	658
537	764	656
538	765	655
539	767	653
540	768	651
541	769	649
542	770	648
543	771	646
544	772	644
545	773	642
546	773	640
547	774	639
548	775	637
549	776	635
550	777	633
551	778	632
552	779	630
553	781	628
554	782	627
555	783	625
556	784	624
557	785	622
558	786	620
559	787	618
560	788	617
561	789	615
562	790	613
563	791	611
564	792	609
565	793	608
566	794	606
567	795	604
568	796	603
569	797	601
570	798	600
571	799	598
572	801	596
573	802	595
574	803	593
575	804	591
576	805	590
577	806	588
578	807	586
579	808	585
580	809	583
581	810	581
582	811	580
583	812	578
584	814	577
585	815	575
586	815	574
587	816	572
588	817	570
589	818	569
590	819	567
591	820	565
592	821	563
593	822	562
594	823	560
595	824	558
596	825	557
597	826	555
598	827	554
599	829	552
600	830	551
601	831	549
602	832	548
603	833	546
604	834	544
605	835	543
606	836	541
607	837	540
608	838	538
609	839	536
610	840	535
611	841	533
612	842	532
613	843	530
614	844	528
615	846	527
616	847	526
617	848	524
618	849	522
619	850	521
620	851	519
621	851	517
622	852	516
623	853	514
624	854	512
625	855	511
626	856	509
627	857	508
628	859	506
629	860	505
630	861	503
631	862	502
632	863	500
633	864	498
634	865	497
635	865	495
636	866	493
637	867	492
638	868	490
639	869	489
640	870	487
641	871	485
642	872	484
643	873	482
644	874	481
645	876	480
646	877	478
647	878	477
648	879	475
649	880	473
650	881	472
651	882	470
652	883	469
653	883	467
654	884	466
655	885	464
656	886	462
657	888	461
658	889	460
659	891	459
660	892	457
661	893	456
662	894	454
663	895	453
664	896	451
665	897	450
666	898	448
667	899	447
668	900	445
669	901	443
670	902	442
671	903	441
672	905	439
673	906	438
674	907	437
675	908	435
676	909	433
677	910	432
678	911	430
679	912	429
680	913	427
681	914	426
682	915	424
683	916	423
684	916	421
685	919	420
686	920	419
687	921	418
688	923	416
689	924	415
690	925	413
691	926	412
692	927	411
693	928	409
694	929	408
695	930	406
696	932	405
697	933	404
698	935	402
699	937	401
700	939	400
701	941	399
702	942	398
703	943	396
704	945	395
705	945	393
706	947	392
707	948	391
708	950	389
709	951	388
710	952	387
711	953	385
712	954	384
713	955	382
714	956	381
715	957	379
716	958	378
717	959	376
718	960	375
719	961	373
720	962	372
721	964	371
722	965	369
723	967	368
724	968	367
725	969	365
726	970	364
727	971	362
728	972	361
729	973	359
730	973	358
731	974	356
732	976	355
733	976	354
734	978	352
735	979	351
736	981	350
737	982	348
738	984	347
739	985	346
740	986	344
741	987	343
742	988	341
743	989	340
744	990	339
745	991	337
746	992	336
747	993	334
748	994	333
749	995	331
750	997	330
751	998	329
752	999	327
753	1000	326
754	1001	324
755	1002	323
756	1003	321
757	1003	320
758	1005	319
759	1006	317
760	1007	316
761	1008	314
762	1009	313
763	1010	312
764	1011	310
765	1013	309
766	1014	308
767	1015	306
768	1016	305
769	1016	303
770	1018	302
771	1019	300
772	1020	299
773	1021	298
774	1022	296
775	1022	295
776	1024	293
777	1025	292
778	1026	291
779	1027	289
780	1028	288
781	1030	287
782	1031	285
783	1032	284
784	1033	283
785	1034	281
786	1035	280
787	1036	278
788	1037	277
789	1038	276
790	1039	274
791	1041	273
792	1042	272
793	1043	270
794	1044	269
795	1045	267
796	1046	266
797	1047	265
798	1048	263
799	1049	262
800	1050	261
801	1051	259
802	1052	258
803	1053	256
804	1054	255
805	1055	254
806	1056	252
807	1057	251
808	1059	250
809	1059	248
810	1061	247
811	1062	245
812	1063	244
813	1064	243
814	1065	241
815	1066	240
816	1068	239
817	1069	237
818	1070	236
819	1072	235
820	1073	234
821	1074	232
822	1076	231
823	1077	230
824	1077	228
825	1078	227
826	1079	225
827	1080	224
828	1081	223
829	1082	221
830	1083	220
831	1084	219
832	1085	217
833	1087	216
834	1089	215
835	1090	213
836	1091	212
837	1092	211
838	1093	209
839	1094	208
840	1095	207
841	1096	205
842	1097	204
843	1098	202
844	1099	201
845	1100	200
846	1101	199
847	1103	197
848	1104	196
849	1105	195
850	1106	193
851	1108	192
852	1109	191
853	1110	189
854	1111	188
855	1112	187
856	1112	185
857	1113	184
858	1114	182
859	1115	181
860	1117	180
861	1118	179
862	1120	177
863	1121	176
864	1122	175
865	1123	173
866	1124	172
867	1125	171
868	1126	169
869	1127	168
870	1128	167
871	1129	165
872	1130	164
873	1131	163
874	1132	161
875	1133	160
876	1135	159
877	1136	157
